2020-01-01 Alabama  Disposable personal income ,210513.8
2020-01-01 Alabama  Gross domestic product (GDP) ,235118.3
2020-01-01 Alabama  Implicit regional price deflator 10/,97.197
2020-01-01 Alabama  Per capita disposable personal income 7/,41840
2020-01-01 Alabama  Per capita personal consumption expenditures (PCE) 8/,34878
2020-01-01 Alabama york Per capita personal income 6/,45887
2020-01-01 Alabama  Personal consumption expenditures ,175481.9
2020-01-01 Alabama  Personal income ,230872.6
2020-01-01 Alabama  Real GDP (millions of chained 2017 dollars) 1/,222081.4
2020-01-01 Alabama  Real PCE (millions of constant (2012) dollars) 3/,182200.5
2020-01-01 Alabama  Real per capita PCE 5/,36260
2020-01-01 Alabama  Real per capita personal income 4/,47661
2020-01-01 Alabama  Real personal income (millions of constant (2012) dollars) 2/,239485
2020-01-01 Alabama  Regional price parities (RPPs) 9/,87.451
2020-01-01 Alabama  Total employment (number of jobs) ,2671005
2020-01-01 Alaska  Disposable personal income ,42025.7
2020-01-01 Alaska  Gross domestic product (GDP) ,51261.5
2020-01-01 Alaska  Implicit regional price deflator 10/,112.022
2020-01-01 Alaska  Per capita disposable personal income 7/,57340
2020-01-01 Alaska  Per capita personal consumption expenditures (PCE) 8/,47762
2020-01-01 Alaska  Per capita personal income 6/,61898
2020-01-01 Alaska  Personal consumption expenditures ,35006
2020-01-01 Alaska  Personal income ,45366.3
2020-01-01 Alaska  Real GDP (millions of chained 2017 dollars) 1/,50344.6
2020-01-01 Alaska  Real PCE (millions of constant (2012) dollars) 3/,31986.2
2020-01-01 Alaska  Real per capita PCE 5/,43671
2020-01-01 Alaska  Real per capita personal income 4/,56198
2020-01-01 Alaska  Real personal income (millions of constant (2012) dollars) 2/,41161.8
2020-01-01 Alaska  Regional price parities (RPPs) 9/,100.789
2020-01-01 Alaska  Total employment (number of jobs) ,430840
2020-01-01 Arizona  Disposable personal income ,337272.5
2020-01-01 Arizona  Gross domestic product (GDP) ,386443.5
2020-01-01 Arizona  Implicit regional price deflator 10/,110.392
2020-01-01 Arizona  Per capita disposable personal income 7/,46974
2020-01-01 Arizona  Per capita personal consumption expenditures (PCE) 8/,40605
2020-01-01 Arizona  Per capita personal income 6/,52133
2020-01-01 Arizona  Personal consumption expenditures ,291542.5
2020-01-01 Arizona  Personal income ,374311.8
2020-01-01 Arizona  Real GDP (millions of chained 2017 dollars) 1/,362603.5
2020-01-01 Arizona  Real PCE (millions of constant (2012) dollars) 3/,261631.1
2020-01-01 Arizona  Real per capita PCE 5/,36449
2020-01-01 Arizona  Real per capita personal income 4/,47551
2020-01-01 Arizona  Real personal income (millions of constant (2012) dollars) 2/,341318.5
2020-01-01 Arizona  Regional price parities (RPPs) 9/,99.323
